Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,Fix type (GPS),Fix type (GPS) valid,PACC H,PACC V,PACC 3D,EDOP,NDOP,VDOP,GDOP,DGPS,SVs Used,Carrier Range Status
0,18:22:50.000 ??/??/????,41.88658850,-87.65900100,150.600,1.1,0.7,3D,Yes,,,,,,0.9,,No,21,0
1,18:22:51.000 08/15/2024,41.88655183,-87.65895750,152.200,1.0,0.6,3D,Yes,9.223,10.096,13.675,,,0.8,,No,22,0
2,18:22:52.000 08/15/2024,41.88655767,-87.65896333,151.700,1.1,0.7,3D,Yes,7.870,9.641,12.445,,,0.8,,No,21,0
3,18:22:53.000 08/15/2024,41.88656033,-87.65896983,151.400,1.0,0.6,3D,Yes,6.004,7.886,9.911,,,0.8,,No,23,0
4,18:22:54.000 08/15/2024,41.88656217,-87.65897467,151.500,1.0,0.6,3D,Yes,4.954,6.818,8.428,,,0.8,,No,23,0
5,18:22:55.000 08/15/2024,41.88656450,-87.65897900,151.300,1.0,0.6,3D,Yes,4.261,6.032,7.385,,,0.8,,No,23,0
6,18:22:56.000 08/15/2024,41.88656600,-87.65898017,150.800,1.0,0.6,3D,Yes,3.778,5.456,6.636,,,0.8,,No,23,0
7,18:22:57.000 08/15/2024,41.88656617,-87.65898133,150.400,1.0,0.6,3D,Yes,3.435,5.003,6.069,,,0.8,,No,23,0
8,18:22:58.000 08/15/2024,41.88656700,-87.65898183,150.000,1.0,0.6,3D,Yes,3.160,4.606,5.586,,,0.8,,No,23,0
9,18:22:59.000 08/15/2024,41.88656717,-87.65898200,149.800,1.0,0.6,3D,Yes,2.946,4.296,5.209,,,0.8,,No,23,0
10,18:23:00.000 08/15/2024,41.88656733,-87.65898267,149.600,1.0,0.6,3D,Yes,2.771,4.052,4.909,,,0.8,,No,22,0
11,18:23:01.000 08/15/2024,41.88656733,-87.65898333,149.500,1.0,0.6,3D,Yes,2.631,3.847,4.661,,,0.8,,No,22,0
12,18:23:02.000 08/15/2024,41.88656767,-87.65898417,149.400,1.0,0.6,3D,Yes,2.509,3.669,4.445,,,0.8,,No,22,0
13,18:23:03.000 08/15/2024,41.88656833,-87.65898517,149.300,1.0,0.6,3D,Yes,2.419,3.532,4.281,,,0.8,,No,23,0
14,18:23:04.000 08/15/2024,41.88656817,-87.65898550,149.300,1.0,0.6,3D,Yes,2.327,3.396,4.117,,,0.8,,No,22,0
15,18:23:05.000 08/15/2024,41.88656683,-87.65898467,149.300,1.0,0.6,3D,Yes,2.234,3.272,3.962,,,0.8,,No,23,0
16,18:23:06.000 08/15/2024,41.88656600,-87.65898383,149.300,1.0,0.6,3D,Yes,2.155,3.160,3.825,,,0.8,,No,23,0
17,18:23:07.000 08/15/2024,41.88656667,-87.65898417,149.200,1.0,0.6,3D,Yes,2.083,3.060,3.702,,,0.8,,No,23,0
18,18:23:08.000 08/15/2024,41.88656700,-87.65898417,149.100,1.0,0.6,3D,Yes,2.011,2.966,3.583,,,0.8,,No,23,0
19,18:23:09.000 08/15/2024,41.88656733,-87.65898350,149.000,1.0,0.6,3D,Yes,1.950,2.881,3.479,,,0.8,,No,23,0
20,18:23:10.000 08/15/2024,41.88656667,-87.65898000,148.900,1.0,0.6,3D,Yes,1.889,2.802,3.379,,,0.8,,No,23,0
21,18:23:11.000 08/15/2024,41.88656433,-87.65897300,148.900,1.0,0.6,3D,Yes,1.838,2.733,3.294,,,0.8,,No,23,0
22,18:23:12.000 08/15/2024,41.88656150,-87.65896650,148.800,1.0,0.6,3D,Yes,1.786,2.665,3.208,,,0.8,,No,22,0
23,18:23:13.000 08/15/2024,41.88655817,-87.65896017,148.800,1.0,0.6,3D,Yes,1.745,2.609,3.139,,,0.8,,No,23,0
24,18:23:14.000 08/15/2024,41.88655517,-87.65895250,148.800,1.0,0.6,3D,Yes,1.701,2.551,3.066,,,0.8,,No,23,0
25,18:23:15.000 08/15/2024,41.88655150,-87.65894283,148.700,1.1,0.6,3D,Yes,1.662,2.506,3.007,,,0.9,,No,22,0
26,18:23:16.000 08/15/2024,41.88654883,-87.65893050,148.700,1.1,0.6,3D,Yes,1.626,2.463,2.951,,,0.9,,No,22,0
27,18:23:17.000 08/15/2024,41.88654850,-87.65891717,148.700,1.0,0.6,3D,Yes,1.593,2.418,2.896,,,0.8,,No,23,0
28,18:23:18.000 08/15/2024,41.88654917,-87.65890367,148.800,1.1,0.6,3D,Yes,1.562,2.375,2.843,,,0.9,,No,22,0
29,18:23:19.000 08/15/2024,41.88654950,-87.65889017,148.800,1.1,0.6,3D,Yes,1.533,2.337,2.795,,,0.9,,No,22,0
30,18:23:20.000 08/15/2024,41.88654983,-87.65887667,148.800,1.1,0.6,3D,Yes,1.507,2.307,2.756,,,0.9,,No,22,0
31,18:23:21.000 08/15/2024,41.88655083,-87.65886383,148.600,1.1,0.6,3D,Yes,1.483,2.278,2.718,,,0.9,,No,21,0
32,18:23:22.000 08/15/2024,41.88655183,-87.65885217,148.500,1.1,0.7,3D,Yes,1.460,2.251,2.683,,,0.9,,No,21,0
33,18:23:23.000 08/15/2024,41.88655250,-87.65884033,148.500,1.1,0.7,3D,Yes,1.441,2.226,2.652,,,0.9,,No,22,0
34,18:23:24.000 08/15/2024,41.88655217,-87.65882733,148.400,1.1,0.7,3D,Yes,1.421,2.200,2.619,,,0.9,,No,22,0
35,18:23:25.000 08/15/2024,41.88655250,-87.65881433,148.400,1.1,0.7,3D,Yes,1.407,2.177,2.592,,,0.9,,No,22,0
36,18:23:26.000 08/15/2024,41.88655250,-87.65880050,148.400,1.1,0.7,3D,Yes,1.392,2.156,2.566,,,0.9,,No,21,0
37,18:23:27.000 08/15/2024,41.88655167,-87.65878567,148.400,1.1,0.7,3D,Yes,1.380,2.141,2.547,,,0.9,,No,21,0
38,18:23:28.000 08/15/2024,41.88655133,-87.65877183,148.400,1.1,0.7,3D,Yes,1.369,2.128,2.530,,,0.9,,No,20,0
39,18:23:29.000 08/15/2024,41.88655133,-87.65875883,148.400,1.2,0.7,3D,Yes,1.359,2.116,2.515,,,1.0,,No,19,0
40,18:23:30.000 08/15/2024,41.88655167,-87.65874450,148.400,1.1,0.7,3D,Yes,1.350,2.102,2.498,,,0.9,,No,22,0
41,18:23:31.000 08/15/2024,41.88655300,-87.65873150,148.300,1.1,0.7,3D,Yes,1.340,2.084,2.478,,,0.9,,No,22,0
42,18:23:32.000 08/15/2024,41.88655550,-87.65872050,147.700,1.1,0.7,3D,Yes,1.333,2.068,2.460,,,0.9,,No,22,0
43,18:23:33.000 08/15/2024,41.88655883,-87.65871050,147.200,1.1,0.7,3D,Yes,1.328,2.054,2.446,,,0.9,,No,21,0
44,18:23:34.000 08/15/2024,41.88656167,-87.65870050,147.000,1.2,0.8,3D,Yes,1.324,2.038,2.430,,,0.9,,No,19,0
45,18:23:35.000 08/15/2024,41.88656383,-87.65868900,147.000,1.2,0.8,3D,Yes,1.321,2.024,2.417,,,0.9,,No,19,0
46,18:23:36.000 08/15/2024,41.88656483,-87.65867633,147.100,1.2,0.8,3D,Yes,1.322,2.011,2.407,,,0.9,,No,19,0
