Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,Fix type (GPS),Fix type (GPS) valid,PACC H,PACC V,PACC 3D,EDOP,NDOP,VDOP,GDOP,DGPS,SVs Used,Carrier Range Status
0,19:02:15.000 08/15/2024,41.88752417,-87.65904050,148.200,2.2,1.2,3D,Yes,,,,,,1.9,,Yes,12,1
1,19:02:16.000 08/15/2024,41.88753283,-87.65903933,148.300,2.2,1.2,3D,Yes,,,,,,1.9,,Yes,12,1
2,19:02:17.000 08/15/2024,41.88754033,-87.65903867,148.600,2.9,1.9,3D,Yes,,,,,,2.1,,Yes,12,1
3,19:02:18.000 08/15/2024,41.88754767,-87.65904000,148.600,2.9,1.9,3D,Yes,,,,,,2.1,,Yes,12,1
4,19:02:19.000 08/15/2024,41.88755517,-87.65904117,148.600,2.0,1.1,3D,Yes,,,,,,1.7,,Yes,12,1
5,19:02:20.000 08/15/2024,41.88756317,-87.65904067,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,13,1
6,19:02:21.000 08/15/2024,41.88757183,-87.65903983,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,13,1
7,19:02:22.000 08/15/2024,41.88758000,-87.65904000,148.600,2.9,1.9,3D,Yes,,,,,,2.1,,Yes,12,1
8,19:02:23.000 08/15/2024,41.88758733,-87.65904117,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,13,1
9,19:02:24.000 08/15/2024,41.88759300,-87.65904133,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
10,19:02:25.000 08/15/2024,41.88759733,-87.65904417,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
11,19:02:26.000 08/15/2024,41.88760000,-87.65905000,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
12,19:02:27.000 08/15/2024,41.88760183,-87.65905717,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
13,19:02:28.000 08/15/2024,41.88760617,-87.65906150,148.800,2.5,1.3,3D,Yes,,,,,,2.2,,Yes,13,1
14,19:02:29.000 08/15/2024,41.88761267,-87.65905950,148.700,2.5,1.3,3D,Yes,,,,,,2.2,,Yes,14,1
15,19:02:30.000 08/15/2024,41.88761983,-87.65905417,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
16,19:02:31.000 08/15/2024,41.88762783,-87.65904800,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
17,19:02:32.000 08/15/2024,41.88763767,-87.65904350,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
18,19:02:33.000 08/15/2024,41.88764817,-87.65904050,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
19,19:02:34.000 08/15/2024,41.88765817,-87.65903717,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
20,19:02:35.000 08/15/2024,41.88766800,-87.65903250,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
21,19:02:36.000 08/15/2024,41.88767683,-87.65902767,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
22,19:02:37.000 08/15/2024,41.88768550,-87.65902383,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,14,1
23,19:02:38.000 08/15/2024,41.88769400,-87.65902100,148.800,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
24,19:02:39.000 08/15/2024,41.88770233,-87.65901817,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
25,19:02:40.000 08/15/2024,41.88771067,-87.65901517,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
26,19:02:41.000 08/15/2024,41.88771883,-87.65901383,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
27,19:02:42.000 08/15/2024,41.88772750,-87.65901633,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
28,19:02:43.000 08/15/2024,41.88773567,-87.65902117,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
29,19:02:44.000 08/15/2024,41.88774217,-87.65902517,148.600,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,15,1
30,19:02:45.000 08/15/2024,41.88774650,-87.65902517,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,16,1
31,19:02:46.000 08/15/2024,41.88774800,-87.65902417,148.700,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,16,1
32,19:02:47.000 08/15/2024,41.88774833,-87.65902417,148.800,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,16,1
33,19:02:48.000 08/15/2024,41.88774800,-87.65902433,148.800,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,16,1
34,19:02:49.000 08/15/2024,41.88774800,-87.65902517,148.800,2.0,1.0,3D,Yes,,,,,,1.7,,Yes,16,1
35,19:02:50.000 08/15/2024,41.88774883,-87.65902600,148.900,1.6,0.8,3D,Yes,,,,,,1.3,,Yes,16,1
36,19:02:51.000 08/15/2024,41.88774917,-87.65902650,148.900,1.6,0.8,3D,Yes,,,,,,1.3,,Yes,16,1
37,19:02:52.000 08/15/2024,41.88774850,-87.65902717,148.900,1.6,0.8,3D,Yes,,,,,,1.3,,Yes,16,1
38,19:02:53.000 08/15/2024,41.88774817,-87.65902700,148.800,1.6,0.8,3D,Yes,,,,,,1.3,,Yes,16,1
39,19:02:54.000 08/15/2024,41.88774800,-87.65902717,148.800,1.6,0.8,3D,Yes,,,,,,1.3,,Yes,16,1
