Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station
2024-07-29 15:08:35,$GNGGA,200835,4153.22599,N,8739.49731,W,1,6,7.31,227.2,M,-33.8,M,,*74
2024-07-29 15:08:36,$GNGGA,200836,4153.22573,N,8739.49107,W,1,12,1.04,231.8,M,-33.8,M,,*78
2024-07-29 15:08:37,$GNGGA,200837,4153.22714,N,8739.5054,W,1,12,2.35,217.4,M,-33.8,M,,*7C
2024-07-29 15:08:38,$GNGGA,200838,4153.22074,N,8739.53747,W,1,12,1.5,196,M,-33.8,M,,*7A
2024-07-29 15:08:39,$GNGGA,200839,4153.21935,N,8739.53949,W,1,12,1.5,193.4,M,-33.8,M,,*75
2024-07-29 15:08:40,$GNGGA,200840,4153.21771,N,8739.53965,W,2,12,6.04,193.2,M,-33.8,M,3,0000*55
2024-07-29 15:08:41,$GNGGA,200841,4153.21793,N,8739.53889,W,5,12,2.82,192.2,M,-33.8,M,4,0000*50
2024-07-29 15:08:42,$GNGGA,200842,4153.218,N,8739.53886,W,5,12,2.82,190.5,M,-33.8,M,5,0000*5D
2024-07-29 15:08:43,$GNGGA,200843,4153.21801,N,8739.53897,W,5,12,2.82,189.4,M,-33.8,M,6,0000*57
2024-07-29 15:08:44,$GNGGA,200844,4153.21798,N,8739.53906,W,5,12,2.82,188.8,M,-33.8,M,7,0000*5A
2024-07-29 15:08:45,$GNGGA,200845,4153.218,N,8739.53911,W,5,12,2.82,188.4,M,-33.8,M,8,0000*50
2024-07-29 15:08:46,$GNGGA,200846,4153.21814,N,8739.53916,W,2,12,2.87,188.2,M,-33.8,M,9,0000*54
2024-07-29 15:08:47,$GNGGA,200847,4153.21847,N,8739.53932,W,2,12,2.82,188,M,-33.8,M,10,0000*6A
2024-07-29 15:08:48,$GNGGA,200848,4153.2189,N,8739.53959,W,5,12,2.82,187.6,M,-33.8,M,11,0000*6D
2024-07-29 15:08:49,$GNGGA,200849,4153.21938,N,8739.53989,W,5,12,2.82,187.6,M,-33.8,M,12,0000*61
2024-07-29 15:08:50,$GNGGA,200850,4153.21995,N,8739.54019,W,5,12,2.82,187.6,M,-33.8,M,13,0000*68
2024-07-29 15:08:51,$GNGGA,200851,4153.22052,N,8739.54019,W,5,12,2.82,187.8,M,-33.8,M,14,0000*61
2024-07-29 15:08:52,$GNGGA,200852,4153.2211,N,8739.54006,W,5,12,2.82,188.1,M,-33.8,M,15,0000*6C
2024-07-29 15:08:53,$GNGGA,200853,4153.22176,N,8739.54006,W,5,12,2.82,188.1,M,-33.8,M,16,0000*6E
2024-07-29 15:08:54,$GNGGA,200854,4153.22245,N,8739.54004,W,5,12,2.82,188.1,M,-33.8,M,17,0000*69
2024-07-29 15:08:55,$GNGGA,200855,4153.22311,N,8739.53993,W,5,12,2.82,188.3,M,-33.8,M,18,0000*65
2024-07-29 15:08:56,$GNGGA,200856,4153.22381,N,8739.54,W,5,12,2.82,188.2,M,-33.8,M,19,0000*6B
2024-07-29 15:08:57,$GNGGA,200857,4153.22451,N,8739.54006,W,5,12,2.82,188,M,-33.8,M,20,0000*6E
2024-07-29 15:08:58,$GNGGA,200858,4153.22521,N,8739.54,W,5,12,2.83,188.1,M,-33.8,M,21,0000*60
2024-07-29 15:08:59,$GNGGA,200859,4153.2259,N,8739.53999,W,5,12,2.83,188,M,-33.8,M,22,0000*67
2024-07-29 15:09:00,$GNGGA,200900,4153.22659,N,8739.54004,W,5,12,2.83,187.9,M,-33.8,M,23,0000*61
2024-07-29 15:09:01,$GNGGA,200901,4153.22726,N,8739.54,W,5,12,2.83,188,M,-33.8,M,24,0000*6C
2024-07-29 15:09:02,$GNGGA,200902,4153.22798,N,8739.54007,W,5,12,2.83,187.7,M,-33.8,M,25,0000*64
2024-07-29 15:09:03,$GNGGA,200903,4153.22871,N,8739.54018,W,5,12,2.83,187.6,M,-33.8,M,26,0000*61
2024-07-29 15:09:05,$GNGGA,200905,4153.23018,N,8739.54025,W,5,12,2.83,187.4,M,-33.8,M,28,0000*63
2024-07-29 15:09:07,$GNGGA,200907,4153.23163,N,8739.54036,W,5,12,3.25,187.3,M,-33.8,M,30,0000*6D
2024-07-29 15:09:09,$GNGGA,200909,4153.23322,N,8739.54059,W,5,12,3.26,187,M,-33.8,M,32,0000*6F
2024-07-29 15:09:10,$GNGGA,200910,4153.23402,N,8739.54065,W,5,12,3.26,186.8,M,-33.8,M,8,0000*5D
2024-07-29 15:09:11,$GNGGA,200911,4153.2348,N,8739.54065,W,5,12,3.26,186.7,M,-33.8,M,9,0000*58
2024-07-29 15:09:12,$GNGGA,200912,4153.23555,N,8739.54062,W,5,12,3.26,186.6,M,-33.8,M,10,0000*6C
2024-07-29 15:09:13,$GNGGA,200913,4153.23626,N,8739.54059,W,5,12,3.26,186.5,M,-33.8,M,11,0000*60
2024-07-29 15:09:14,$GNGGA,200914,4153.23694,N,8739.54064,W,5,12,3.26,186.5,M,-33.8,M,12,0000*63
2024-07-29 15:09:15,$GNGGA,200915,4153.23763,N,8739.5407,W,5,12,3.26,186.4,M,-33.8,M,13,0000*6E
2024-07-29 15:09:16,$GNGGA,200916,4153.23831,N,8739.54064,W,5,12,3.26,186.4,M,-33.8,M,14,0000*67
2024-07-29 15:09:17,$GNGGA,200917,4153.23897,N,8739.54053,W,5,12,3.26,186.4,M,-33.8,M,15,0000*6F
2024-07-29 15:09:18,$GNGGA,200918,4153.23963,N,8739.54045,W,5,12,3.26,186.3,M,-33.8,M,16,0000*69
2024-07-29 15:09:19,$GNGGA,200919,4153.2403,N,8739.54047,W,5,12,3.26,186.3,M,-33.8,M,17,0000*63
2024-07-29 15:09:20,$GNGGA,200920,4153.24095,N,8739.54047,W,5,12,3.26,186.3,M,-33.8,M,3,0000*53
2024-07-29 15:09:21,$GNGGA,200921,4153.24163,N,8739.54048,W,5,12,1.87,186.1,M,-33.8,M,4,0000*59
2024-07-29 15:09:22,$GNGGA,200922,4153.24231,N,8739.54045,W,5,12,1.87,186,M,-33.8,M,5,0000*53
2024-07-29 15:09:23,$GNGGA,200923,4153.24301,N,8739.54042,W,5,12,1.87,185.9,M,-33.8,M,6,0000*5E
2024-07-29 15:09:24,$GNGGA,200924,4153.24371,N,8739.54044,W,5,12,1.87,185.7,M,-33.8,M,7,0000*57
2024-07-29 15:09:25,$GNGGA,200925,4153.24437,N,8739.54047,W,5,12,1.87,185.7,M,-33.8,M,8,0000*5F
2024-07-29 15:09:26,$GNGGA,200926,4153.24504,N,8739.54051,W,5,12,1.87,185.6,M,-33.8,M,9,0000*5A
2024-07-29 15:09:27,$GNGGA,200927,4153.24572,N,8739.54049,W,5,12,1.87,185.5,M,-33.8,M,10,0000*68
