Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:08:35,$GNGGA,200835,4153.22599,N,8739.49731,W,1,6,7.31,227.2,M,-33.8,M,,*74,41.88709983333333,-87.6582885,193.39999999999998
2024-07-29 15:08:36,$GNGGA,200836,4153.22573,N,8739.49107,W,1,12,1.04,231.8,M,-33.8,M,,*78,41.8870955,-87.6581845,198.0
2024-07-29 15:08:37,$GNGGA,200837,4153.22714,N,8739.5054,W,1,12,2.35,217.4,M,-33.8,M,,*7C,41.887119,-87.65842333333333,183.60000000000002
2024-07-29 15:08:38,$GNGGA,200838,4153.22074,N,8739.53747,W,1,12,1.5,196,M,-33.8,M,,*7A,41.88701233333333,-87.65895783333333,162.2
2024-07-29 15:08:39,$GNGGA,200839,4153.21935,N,8739.53949,W,1,12,1.5,193.4,M,-33.8,M,,*75,41.886989166666666,-87.6589915,159.60000000000002
2024-07-29 15:08:40,$GNGGA,200840,4153.21771,N,8739.53965,W,2,12,6.04,193.2,M,-33.8,M,3,0000*55,41.88696183333333,-87.65899416666667,159.39999999999998
2024-07-29 15:08:41,$GNGGA,200841,4153.21793,N,8739.53889,W,5,12,2.82,192.2,M,-33.8,M,4,0000*50,41.8869655,-87.6589815,158.39999999999998
2024-07-29 15:08:42,$GNGGA,200842,4153.218,N,8739.53886,W,5,12,2.82,190.5,M,-33.8,M,5,0000*5D,41.886966666666666,-87.658981,156.7
2024-07-29 15:08:43,$GNGGA,200843,4153.21801,N,8739.53897,W,5,12,2.82,189.4,M,-33.8,M,6,0000*57,41.88696683333333,-87.65898283333334,155.60000000000002
2024-07-29 15:08:44,$GNGGA,200844,4153.21798,N,8739.53906,W,5,12,2.82,188.8,M,-33.8,M,7,0000*5A,41.88696633333333,-87.65898433333334,155.0
2024-07-29 15:08:45,$GNGGA,200845,4153.218,N,8739.53911,W,5,12,2.82,188.4,M,-33.8,M,8,0000*50,41.886966666666666,-87.65898516666667,154.60000000000002
2024-07-29 15:08:46,$GNGGA,200846,4153.21814,N,8739.53916,W,2,12,2.87,188.2,M,-33.8,M,9,0000*54,41.886969,-87.658986,154.39999999999998
2024-07-29 15:08:47,$GNGGA,200847,4153.21847,N,8739.53932,W,2,12,2.82,188,M,-33.8,M,10,0000*6A,41.8869745,-87.65898866666667,154.2
2024-07-29 15:08:48,$GNGGA,200848,4153.2189,N,8739.53959,W,5,12,2.82,187.6,M,-33.8,M,11,0000*6D,41.886981666666664,-87.65899316666666,153.8
2024-07-29 15:08:49,$GNGGA,200849,4153.21938,N,8739.53989,W,5,12,2.82,187.6,M,-33.8,M,12,0000*61,41.886989666666665,-87.65899816666666,153.8
2024-07-29 15:08:50,$GNGGA,200850,4153.21995,N,8739.54019,W,5,12,2.82,187.6,M,-33.8,M,13,0000*68,41.88699916666667,-87.65900316666666,153.8
2024-07-29 15:08:51,$GNGGA,200851,4153.22052,N,8739.54019,W,5,12,2.82,187.8,M,-33.8,M,14,0000*61,41.88700866666667,-87.65900316666666,154.0
2024-07-29 15:08:52,$GNGGA,200852,4153.2211,N,8739.54006,W,5,12,2.82,188.1,M,-33.8,M,15,0000*6C,41.88701833333333,-87.659001,154.3
2024-07-29 15:08:53,$GNGGA,200853,4153.22176,N,8739.54006,W,5,12,2.82,188.1,M,-33.8,M,16,0000*6E,41.88702933333333,-87.659001,154.3
2024-07-29 15:08:54,$GNGGA,200854,4153.22245,N,8739.54004,W,5,12,2.82,188.1,M,-33.8,M,17,0000*69,41.88704083333333,-87.65900066666667,154.3
2024-07-29 15:08:55,$GNGGA,200855,4153.22311,N,8739.53993,W,5,12,2.82,188.3,M,-33.8,M,18,0000*65,41.88705183333333,-87.65899883333333,154.5
2024-07-29 15:08:56,$GNGGA,200856,4153.22381,N,8739.54,W,5,12,2.82,188.2,M,-33.8,M,19,0000*6B,41.8870635,-87.659,154.39999999999998
2024-07-29 15:08:57,$GNGGA,200857,4153.22451,N,8739.54006,W,5,12,2.82,188,M,-33.8,M,20,0000*6E,41.88707516666667,-87.659001,154.2
2024-07-29 15:08:58,$GNGGA,200858,4153.22521,N,8739.54,W,5,12,2.83,188.1,M,-33.8,M,21,0000*60,41.887086833333335,-87.659,154.3
2024-07-29 15:08:59,$GNGGA,200859,4153.2259,N,8739.53999,W,5,12,2.83,188,M,-33.8,M,22,0000*67,41.887098333333334,-87.65899983333334,154.2
2024-07-29 15:09:00,$GNGGA,200900,4153.22659,N,8739.54004,W,5,12,2.83,187.9,M,-33.8,M,23,0000*61,41.887109833333334,-87.65900066666667,154.10000000000002
2024-07-29 15:09:01,$GNGGA,200901,4153.22726,N,8739.54,W,5,12,2.83,188,M,-33.8,M,24,0000*6C,41.887121,-87.659,154.2
2024-07-29 15:09:02,$GNGGA,200902,4153.22798,N,8739.54007,W,5,12,2.83,187.7,M,-33.8,M,25,0000*64,41.887133,-87.65900116666667,153.89999999999998
2024-07-29 15:09:03,$GNGGA,200903,4153.22871,N,8739.54018,W,5,12,2.83,187.6,M,-33.8,M,26,0000*61,41.88714516666667,-87.659003,153.8
2024-07-29 15:09:05,$GNGGA,200905,4153.23018,N,8739.54025,W,5,12,2.83,187.4,M,-33.8,M,28,0000*63,41.887169666666665,-87.65900416666666,153.60000000000002
2024-07-29 15:09:07,$GNGGA,200907,4153.23163,N,8739.54036,W,5,12,3.25,187.3,M,-33.8,M,30,0000*6D,41.887193833333335,-87.659006,153.5
2024-07-29 15:09:09,$GNGGA,200909,4153.23322,N,8739.54059,W,5,12,3.26,187,M,-33.8,M,32,0000*6F,41.88722033333333,-87.65900983333333,153.2
