Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,Fix type (GPS),Fix type (GPS) valid,PACC H,PACC V,PACC 3D,EDOP,NDOP,VDOP,GDOP,DGPS,SVs Used,Carrier Range Status
0,15:49:28.000 ??/??/????,42.09789150,-87.82833250,,1.2,0.8,3D,Yes,,,,,,0.9,,Yes,29,1
1,15:49:29.000 08/16/2024,42.09789133,-87.82833283,159.400,1.2,0.8,3D,Yes,0.147,0.206,0.253,,,0.9,,Yes,29,1
2,15:49:30.000 08/16/2024,42.09789150,-87.82833317,159.400,1.2,0.8,3D,Yes,0.144,0.226,0.268,,,0.9,,Yes,29,1
3,15:49:31.000 08/16/2024,42.09789167,-87.82833367,159.400,1.2,0.8,3D,Yes,0.143,0.228,0.269,,,0.9,,Yes,29,1
4,15:49:32.000 08/16/2024,42.09789167,-87.82833383,159.400,1.2,0.8,3D,Yes,0.146,0.230,0.272,,,0.9,,Yes,29,1
5,15:49:33.000 08/16/2024,42.09789167,-87.82833400,159.400,1.2,0.8,3D,Yes,0.146,0.230,0.272,,,0.9,,Yes,29,1
6,15:49:34.000 08/16/2024,42.09789167,-87.82833417,159.400,1.2,0.8,3D,Yes,0.145,0.228,0.270,,,0.9,,Yes,29,1
7,15:49:35.000 08/16/2024,42.09789150,-87.82833433,159.400,1.2,0.8,3D,Yes,0.144,0.208,0.253,,,0.9,,Yes,29,1
8,15:49:36.000 08/16/2024,42.09789150,-87.82833450,159.400,1.2,0.8,3D,Yes,0.143,0.202,0.247,,,0.9,,Yes,29,1
9,15:49:37.000 08/16/2024,42.09789150,-87.82833467,159.400,1.2,0.8,3D,Yes,0.142,0.201,0.246,,,0.9,,Yes,29,1
10,15:49:38.000 08/16/2024,42.09789150,-87.82833467,159.300,1.2,0.8,3D,Yes,0.141,0.199,0.244,,,0.9,,Yes,29,1
11,15:49:39.000 08/16/2024,42.09789150,-87.82833483,159.300,1.2,0.8,3D,Yes,0.140,0.198,0.242,,,0.9,,Yes,29,1
12,15:49:40.000 08/16/2024,42.09789150,-87.82833483,159.300,1.2,0.8,3D,Yes,0.135,0.181,0.226,,,0.9,,Yes,29,1
13,15:49:41.000 08/16/2024,42.09789150,-87.82833483,159.300,1.2,0.8,3D,Yes,0.138,0.192,0.236,,,0.9,,Yes,29,1
14,15:49:42.000 08/16/2024,42.09789167,-87.82833500,159.300,1.2,0.8,3D,Yes,0.140,0.195,0.240,,,0.9,,Yes,29,1
15,15:49:43.000 08/16/2024,42.09789150,-87.82833517,159.300,1.2,0.8,3D,Yes,0.139,0.196,0.240,,,0.9,,Yes,29,1
16,15:49:44.000 08/16/2024,42.09789150,-87.82833517,159.200,1.2,0.8,3D,Yes,0.139,0.196,0.240,,,0.9,,Yes,29,1
17,15:49:45.000 08/16/2024,42.09789150,-87.82833517,159.200,1.2,0.8,3D,Yes,0.137,0.195,0.238,,,0.9,,Yes,29,1
18,15:49:46.000 08/16/2024,42.09789150,-87.82833533,159.200,1.2,0.8,3D,Yes,0.137,0.195,0.238,,,0.9,,Yes,29,1
