Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,VDOP,Fix type (GPS),SVs Used,Carrier Range Status,RTK Fix Type
0,15:30:22.000 ??/??/????,42.09785400,-87.82843717,,,,,2/3D,29,2,Fixed
1,15:30:23.000 08/16/2024,42.09785417,-87.82843700,161.800,1.3,0.8,1.0,3D,28,2,Fixed
2,15:30:24.000 08/16/2024,42.09785400,-87.82843683,161.800,1.3,0.8,1.0,3D,28,1,Float
3,15:30:25.000 08/16/2024,42.09785400,-87.82843667,161.900,1.3,0.8,1.0,3D,29,1,Float
4,15:30:26.000 08/16/2024,42.09785400,-87.82843667,162.000,1.3,0.8,1.0,3D,29,2,Fixed
5,15:30:27.000 08/16/2024,42.09785400,-87.82843667,162.000,1.3,0.8,1.0,3D,29,1,Float
6,15:30:28.000 08/16/2024,42.09785417,-87.82843667,162.000,1.3,0.8,1.0,3D,29,1,Float
7,15:30:29.000 08/16/2024,42.09785400,-87.82843650,162.000,1.3,0.8,1.0,3D,30,1,Float
8,15:30:30.000 08/16/2024,42.09785417,-87.82843667,161.900,1.3,0.8,1.0,3D,30,1,Float
9,15:30:31.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,1,Float
10,15:30:32.000 08/16/2024,42.09785417,-87.82843650,162.000,1.3,0.8,1.0,3D,29,1,Float
11,15:30:33.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,30,1,Float
12,15:30:34.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,30,1,Float
13,15:30:35.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,1,Float
14,15:30:36.000 08/16/2024,42.09785400,-87.82843650,162.000,1.3,0.8,1.0,3D,30,1,Float
15,15:30:37.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,30,2,Fixed
16,15:30:38.000 08/16/2024,42.09785400,-87.82843683,161.800,1.3,0.8,1.0,3D,30,2,Fixed
17,15:30:39.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,30,2,Fixed
18,15:30:40.000 08/16/2024,42.09785400,-87.82843683,161.800,1.3,0.8,1.0,3D,30,2,Fixed
19,15:30:41.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
20,15:30:42.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
21,15:30:43.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,30,2,Fixed
22,15:30:44.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,30,2,Fixed
23,15:30:45.000 08/16/2024,42.09785417,-87.82843633,161.900,1.3,0.8,1.0,3D,30,2,Fixed
24,15:30:46.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,30,2,Fixed
25,15:30:47.000 08/16/2024,42.09785417,-87.82843633,161.900,1.3,0.8,1.0,3D,30,2,Fixed
26,15:30:48.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,30,2,Fixed
27,15:30:49.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
28,15:30:50.000 08/16/2024,42.09785383,-87.82843683,161.900,1.3,0.8,1.0,3D,29,2,Fixed
29,15:30:51.000 08/16/2024,42.09785333,-87.82843717,161.800,1.3,0.8,1.0,3D,29,2,Fixed
30,15:30:52.000 08/16/2024,42.09785383,-87.82843683,161.900,1.3,0.8,1.0,3D,29,2,Fixed
31,15:30:53.000 08/16/2024,42.09785400,-87.82843683,161.900,1.3,0.8,1.0,3D,30,2,Fixed
32,15:30:54.000 08/16/2024,42.09785400,-87.82843667,161.900,1.3,0.8,1.0,3D,30,2,Fixed
33,15:30:55.000 08/16/2024,42.09785400,-87.82843667,161.900,1.3,0.8,1.0,3D,30,2,Fixed
34,15:30:56.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
35,15:30:57.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
36,15:30:58.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
37,15:30:59.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
38,15:31:00.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,30,2,Fixed
39,15:31:01.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,30,2,Fixed
40,15:31:02.000 08/16/2024,42.09785417,-87.82843667,161.900,1.3,0.8,1.0,3D,30,2,Fixed
41,15:31:03.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
42,15:31:04.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
43,15:31:05.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
44,15:31:06.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
45,15:31:07.000 08/16/2024,42.09785383,-87.82843683,161.800,1.3,0.8,1.0,3D,29,2,Fixed
46,15:31:08.000 08/16/2024,42.09785417,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
47,15:31:09.000 08/16/2024,42.09785400,-87.82843667,161.800,1.3,0.8,1.0,3D,29,2,Fixed
48,15:31:10.000 08/16/2024,42.09785400,-87.82843667,161.800,1.3,0.8,1.0,3D,29,2,Fixed
49,15:31:11.000 08/16/2024,42.09785400,-87.82843667,161.800,1.3,0.8,1.0,3D,29,2,Fixed
50,15:31:12.000 08/16/2024,42.09785417,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
51,15:31:13.000 08/16/2024,42.09785417,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
52,15:31:14.000 08/16/2024,42.09785417,-87.82843650,161.900,1.3,0.8,1.0,3D,29,2,Fixed
53,15:31:15.000 08/16/2024,42.09785417,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
54,15:31:16.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
55,15:31:17.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
56,15:31:18.000 08/16/2024,42.09785450,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
57,15:31:19.000 08/16/2024,42.09785433,-87.82843633,161.900,1.3,0.8,1.0,3D,29,2,Fixed
58,15:31:20.000 08/16/2024,42.09785383,-87.82843683,161.900,1.3,0.8,1.0,3D,29,2,Fixed
