Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,VDOP,Fix type (GPS),SVs Used,Carrier Range Status,RTK Fix Type
0,18:22:50.000 ??/??/????,41.88658850,-87.65900100,150.600,1.1,0.7,0.9,3D,21,0,No Fix
1,18:22:51.000 08/15/2024,41.88655183,-87.65895750,152.200,1.0,0.6,0.8,3D,22,0,No Fix
2,18:22:52.000 08/15/2024,41.88655767,-87.65896333,151.700,1.1,0.7,0.8,3D,21,0,No Fix
3,18:22:53.000 08/15/2024,41.88656033,-87.65896983,151.400,1.0,0.6,0.8,3D,23,0,No Fix
4,18:22:54.000 08/15/2024,41.88656217,-87.65897467,151.500,1.0,0.6,0.8,3D,23,0,No Fix
5,18:22:55.000 08/15/2024,41.88656450,-87.65897900,151.300,1.0,0.6,0.8,3D,23,0,No Fix
6,18:22:56.000 08/15/2024,41.88656600,-87.65898017,150.800,1.0,0.6,0.8,3D,23,0,No Fix
7,18:22:57.000 08/15/2024,41.88656617,-87.65898133,150.400,1.0,0.6,0.8,3D,23,0,No Fix
8,18:22:58.000 08/15/2024,41.88656700,-87.65898183,150.000,1.0,0.6,0.8,3D,23,0,No Fix
9,18:22:59.000 08/15/2024,41.88656717,-87.65898200,149.800,1.0,0.6,0.8,3D,23,0,No Fix
10,18:23:00.000 08/15/2024,41.88656733,-87.65898267,149.600,1.0,0.6,0.8,3D,22,0,No Fix
11,18:23:01.000 08/15/2024,41.88656733,-87.65898333,149.500,1.0,0.6,0.8,3D,22,0,No Fix
12,18:23:02.000 08/15/2024,41.88656767,-87.65898417,149.400,1.0,0.6,0.8,3D,22,0,No Fix
13,18:23:03.000 08/15/2024,41.88656833,-87.65898517,149.300,1.0,0.6,0.8,3D,23,0,No Fix
14,18:23:04.000 08/15/2024,41.88656817,-87.65898550,149.300,1.0,0.6,0.8,3D,22,0,No Fix
15,18:23:05.000 08/15/2024,41.88656683,-87.65898467,149.300,1.0,0.6,0.8,3D,23,0,No Fix
16,18:23:06.000 08/15/2024,41.88656600,-87.65898383,149.300,1.0,0.6,0.8,3D,23,0,No Fix
17,18:23:07.000 08/15/2024,41.88656667,-87.65898417,149.200,1.0,0.6,0.8,3D,23,0,No Fix
18,18:23:08.000 08/15/2024,41.88656700,-87.65898417,149.100,1.0,0.6,0.8,3D,23,0,No Fix
19,18:23:09.000 08/15/2024,41.88656733,-87.65898350,149.000,1.0,0.6,0.8,3D,23,0,No Fix
20,18:23:10.000 08/15/2024,41.88656667,-87.65898000,148.900,1.0,0.6,0.8,3D,23,0,No Fix
21,18:23:11.000 08/15/2024,41.88656433,-87.65897300,148.900,1.0,0.6,0.8,3D,23,0,No Fix
22,18:23:12.000 08/15/2024,41.88656150,-87.65896650,148.800,1.0,0.6,0.8,3D,22,0,No Fix
23,18:23:13.000 08/15/2024,41.88655817,-87.65896017,148.800,1.0,0.6,0.8,3D,23,0,No Fix
24,18:23:14.000 08/15/2024,41.88655517,-87.65895250,148.800,1.0,0.6,0.8,3D,23,0,No Fix
25,18:23:15.000 08/15/2024,41.88655150,-87.65894283,148.700,1.1,0.6,0.9,3D,22,0,No Fix
26,18:23:16.000 08/15/2024,41.88654883,-87.65893050,148.700,1.1,0.6,0.9,3D,22,0,No Fix
27,18:23:17.000 08/15/2024,41.88654850,-87.65891717,148.700,1.0,0.6,0.8,3D,23,0,No Fix
28,18:23:18.000 08/15/2024,41.88654917,-87.65890367,148.800,1.1,0.6,0.9,3D,22,0,No Fix
29,18:23:19.000 08/15/2024,41.88654950,-87.65889017,148.800,1.1,0.6,0.9,3D,22,0,No Fix
30,18:23:20.000 08/15/2024,41.88654983,-87.65887667,148.800,1.1,0.6,0.9,3D,22,0,No Fix
31,18:23:21.000 08/15/2024,41.88655083,-87.65886383,148.600,1.1,0.6,0.9,3D,21,0,No Fix
32,18:23:22.000 08/15/2024,41.88655183,-87.65885217,148.500,1.1,0.7,0.9,3D,21,0,No Fix
33,18:23:23.000 08/15/2024,41.88655250,-87.65884033,148.500,1.1,0.7,0.9,3D,22,0,No Fix
34,18:23:24.000 08/15/2024,41.88655217,-87.65882733,148.400,1.1,0.7,0.9,3D,22,0,No Fix
35,18:23:25.000 08/15/2024,41.88655250,-87.65881433,148.400,1.1,0.7,0.9,3D,22,0,No Fix
36,18:23:26.000 08/15/2024,41.88655250,-87.65880050,148.400,1.1,0.7,0.9,3D,21,0,No Fix
37,18:23:27.000 08/15/2024,41.88655167,-87.65878567,148.400,1.1,0.7,0.9,3D,21,0,No Fix
38,18:23:28.000 08/15/2024,41.88655133,-87.65877183,148.400,1.1,0.7,0.9,3D,20,0,No Fix
39,18:23:29.000 08/15/2024,41.88655133,-87.65875883,148.400,1.2,0.7,1.0,3D,19,0,No Fix
40,18:23:30.000 08/15/2024,41.88655167,-87.65874450,148.400,1.1,0.7,0.9,3D,22,0,No Fix
41,18:23:31.000 08/15/2024,41.88655300,-87.65873150,148.300,1.1,0.7,0.9,3D,22,0,No Fix
42,18:23:32.000 08/15/2024,41.88655550,-87.65872050,147.700,1.1,0.7,0.9,3D,22,0,No Fix
43,18:23:33.000 08/15/2024,41.88655883,-87.65871050,147.200,1.1,0.7,0.9,3D,21,0,No Fix
44,18:23:34.000 08/15/2024,41.88656167,-87.65870050,147.000,1.2,0.8,0.9,3D,19,0,No Fix
45,18:23:35.000 08/15/2024,41.88656383,-87.65868900,147.000,1.2,0.8,0.9,3D,19,0,No Fix
46,18:23:36.000 08/15/2024,41.88656483,-87.65867633,147.100,1.2,0.8,0.9,3D,19,0,No Fix
47,18:23:37.000 08/15/2024,41.88656517,-87.65866383,147.200,1.2,0.8,0.9,3D,19,0,No Fix
48,18:23:38.000 08/15/2024,41.88656467,-87.65865133,147.100,1.2,0.8,0.9,3D,19,0,No Fix
49,18:23:39.000 08/15/2024,41.88656433,-87.65863800,147.000,1.2,0.8,0.9,3D,19,0,No Fix
50,18:23:40.000 08/15/2024,41.88656533,-87.65862467,147.000,1.3,0.9,0.9,3D,18,0,No Fix
51,18:23:41.000 08/15/2024,41.88656600,-87.65861033,147.200,1.3,0.9,0.9,3D,18,0,No Fix
52,18:23:42.000 08/15/2024,41.88656650,-87.65859633,147.300,1.2,0.8,0.9,3D,19,0,No Fix
53,18:23:43.000 08/15/2024,41.88656800,-87.65858467,147.200,1.3,0.9,0.9,3D,18,0,No Fix
54,18:23:44.000 08/15/2024,41.88656933,-87.65857300,147.200,1.3,0.9,0.9,3D,18,0,No Fix
55,18:23:45.000 08/15/2024,41.88656983,-87.65856083,147.300,1.4,1.0,1.0,3D,17,0,No Fix
56,18:23:46.000 08/15/2024,41.88657017,-87.65854917,147.400,1.5,1.1,1.0,3D,16,0,No Fix
57,18:23:47.000 08/15/2024,41.88656933,-87.65853683,147.400,1.5,1.1,1.0,3D,15,0,No Fix
58,18:23:48.000 08/15/2024,41.88656867,-87.65852333,147.400,1.5,1.1,1.0,3D,15,0,No Fix
59,18:23:49.000 08/15/2024,41.88656883,-87.65851033,147.600,1.5,1.1,1.0,3D,15,0,No Fix
60,18:23:50.000 08/15/2024,41.88656900,-87.65849733,147.700,1.4,1.0,1.0,3D,17,0,No Fix
61,18:23:51.000 08/15/2024,41.88656967,-87.65848383,147.800,1.7,1.4,1.0,3D,15,0,No Fix
62,18:23:52.000 08/15/2024,41.88657083,-87.65847083,148.100,1.7,1.4,1.0,3D,15,0,No Fix
63,18:23:53.000 08/15/2024,41.88657167,-87.65845967,148.300,1.7,1.4,1.0,3D,14,0,No Fix
64,18:23:54.000 08/15/2024,41.88657283,-87.65844833,148.500,1.7,1.4,1.0,3D,15,0,No Fix
65,18:23:55.000 08/15/2024,41.88657300,-87.65843583,148.500,1.7,1.4,1.0,3D,15,0,No Fix
66,18:23:56.000 08/15/2024,41.88657283,-87.65842250,148.600,1.7,1.4,1.0,3D,15,0,No Fix
67,18:23:57.000 08/15/2024,41.88657333,-87.65840933,148.700,1.7,1.4,1.0,3D,15,0,No Fix
68,18:23:58.000 08/15/2024,41.88657433,-87.65839633,148.800,1.7,1.4,1.0,3D,15,0,No Fix
69,18:23:59.000 08/15/2024,41.88657667,-87.65838317,148.800,1.7,1.4,1.0,3D,15,0,No Fix
70,18:24:00.000 08/15/2024,41.88657983,-87.65837033,149.000,1.7,1.4,1.0,3D,15,0,No Fix
71,18:24:01.000 08/15/2024,41.88658083,-87.65835817,149.100,1.7,1.4,1.0,3D,15,0,No Fix
72,18:24:02.000 08/15/2024,41.88658150,-87.65834533,149.300,1.8,1.5,1.1,3D,14,0,No Fix
73,18:24:03.000 08/15/2024,41.88658200,-87.65833200,149.500,1.7,1.4,1.0,3D,15,0,No Fix
74,18:24:04.000 08/15/2024,41.88658150,-87.65831850,149.600,1.7,1.4,1.0,3D,15,0,No Fix
75,18:24:05.000 08/15/2024,41.88658133,-87.65830367,149.600,1.7,1.4,1.0,3D,15,0,No Fix
76,18:24:06.000 08/15/2024,41.88658083,-87.65828817,149.600,1.7,1.4,1.0,3D,15,0,No Fix
77,18:24:07.000 08/15/2024,41.88658083,-87.65827367,149.700,1.7,1.4,1.0,3D,15,0,No Fix
78,18:24:08.000 08/15/2024,41.88658117,-87.65825967,149.600,1.7,1.4,1.0,3D,15,0,No Fix
79,18:24:09.000 08/15/2024,41.88658133,-87.65824567,149.500,1.7,1.4,1.0,3D,15,0,No Fix
80,18:24:10.000 08/15/2024,41.88658217,-87.65823267,149.500,1.8,1.4,1.1,3D,14,0,No Fix
81,18:24:11.000 08/15/2024,41.88658267,-87.65821967,149.400,1.8,1.4,1.1,3D,14,0,No Fix
82,18:24:12.000 08/15/2024,41.88658283,-87.65820633,149.400,2.1,1.7,1.3,3D,13,0,No Fix
83,18:24:13.000 08/15/2024,41.88658167,-87.65819333,149.400,2.1,1.7,1.3,3D,13,0,No Fix
84,18:24:14.000 08/15/2024,41.88658050,-87.65817983,149.400,2.1,1.7,1.3,3D,13,0,No Fix
85,18:24:15.000 08/15/2024,41.88658100,-87.65816583,149.300,2.1,1.7,1.3,3D,13,0,No Fix
86,18:24:16.000 08/15/2024,41.88658233,-87.65815133,149.300,2.1,1.7,1.3,3D,13,0,No Fix
87,18:24:17.000 08/15/2024,41.88658383,-87.65813700,149.400,2.1,1.7,1.3,3D,13,0,No Fix
88,18:24:18.000 08/15/2024,41.88658633,-87.65812383,149.500,1.8,1.2,1.3,3D,14,0,No Fix
89,18:24:19.000 08/15/2024,41.88658867,-87.65811133,149.400,1.8,1.2,1.3,3D,14,0,No Fix
90,18:24:20.000 08/15/2024,41.88659083,-87.65809917,149.400,1.5,1.1,1.1,3D,15,0,No Fix
91,18:24:21.000 08/15/2024,41.88659183,-87.65808617,149.300,1.5,1.1,1.1,3D,15,0,No Fix
92,18:24:22.000 08/15/2024,41.88659200,-87.65807233,149.400,1.5,1.1,1.1,3D,15,0,No Fix
93,18:24:23.000 08/15/2024,41.88659183,-87.65805883,149.300,1.8,1.2,1.3,3D,14,0,No Fix
94,18:24:24.000 08/15/2024,41.88659183,-87.65804500,149.300,1.7,1.1,1.3,3D,15,0,No Fix
95,18:24:25.000 08/15/2024,41.88659117,-87.65803133,149.100,1.7,1.1,1.3,3D,15,0,No Fix
96,18:24:26.000 08/15/2024,41.88659250,-87.65801833,149.200,1.6,1.0,1.3,3D,15,0,No Fix
97,18:24:27.000 08/15/2024,41.88659267,-87.65800467,149.200,1.6,1.0,1.3,3D,16,0,No Fix
98,18:24:28.000 08/15/2024,41.88659317,-87.65799117,149.200,1.6,1.0,1.3,3D,16,0,No Fix
99,18:24:29.000 08/15/2024,41.88659367,-87.65797817,149.200,1.4,0.9,1.0,3D,17,0,No Fix
100,18:24:30.000 08/15/2024,41.88659450,-87.65796600,149.100,1.4,0.9,1.0,3D,17,0,No Fix
101,18:24:31.000 08/15/2024,41.88659550,-87.65795233,149.100,1.6,1.0,1.3,3D,16,0,No Fix
102,18:24:32.000 08/15/2024,41.88659567,-87.65793833,149.100,1.6,1.0,1.3,3D,16,0,No Fix
103,18:24:33.000 08/15/2024,41.88659483,-87.65792483,149.000,1.6,1.0,1.3,3D,16,0,No Fix
104,18:24:34.000 08/15/2024,41.88659333,-87.65791067,148.900,1.6,1.0,1.3,3D,16,0,No Fix
105,18:24:35.000 08/15/2024,41.88659217,-87.65789700,148.900,1.6,1.0,1.3,3D,16,0,No Fix
