Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,VDOP,Fix type (GPS),SVs Used,Carrier Range Status,RTK Fix Type
0,19:02:15.000 08/15/2024,41.88752417,-87.65904050,148.200,2.2,1.2,1.9,3D,12,1,Float
1,19:02:16.000 08/15/2024,41.88753283,-87.65903933,148.300,2.2,1.2,1.9,3D,12,1,Float
2,19:02:17.000 08/15/2024,41.88754033,-87.65903867,148.600,2.9,1.9,2.1,3D,12,1,Float
3,19:02:18.000 08/15/2024,41.88754767,-87.65904000,148.600,2.9,1.9,2.1,3D,12,1,Float
4,19:02:19.000 08/15/2024,41.88755517,-87.65904117,148.600,2.0,1.1,1.7,3D,12,1,Float
5,19:02:20.000 08/15/2024,41.88756317,-87.65904067,148.600,2.0,1.0,1.7,3D,13,1,Float
6,19:02:21.000 08/15/2024,41.88757183,-87.65903983,148.600,2.0,1.0,1.7,3D,13,1,Float
7,19:02:22.000 08/15/2024,41.88758000,-87.65904000,148.600,2.9,1.9,2.1,3D,12,1,Float
8,19:02:23.000 08/15/2024,41.88758733,-87.65904117,148.600,2.0,1.0,1.7,3D,13,1,Float
9,19:02:24.000 08/15/2024,41.88759300,-87.65904133,148.700,2.0,1.0,1.7,3D,14,1,Float
10,19:02:25.000 08/15/2024,41.88759733,-87.65904417,148.700,2.0,1.0,1.7,3D,14,1,Float
11,19:02:26.000 08/15/2024,41.88760000,-87.65905000,148.700,2.0,1.0,1.7,3D,14,1,Float
12,19:02:27.000 08/15/2024,41.88760183,-87.65905717,148.700,2.0,1.0,1.7,3D,14,1,Float
13,19:02:28.000 08/15/2024,41.88760617,-87.65906150,148.800,2.5,1.3,2.2,3D,13,1,Float
14,19:02:29.000 08/15/2024,41.88761267,-87.65905950,148.700,2.5,1.3,2.2,3D,14,1,Float
15,19:02:30.000 08/15/2024,41.88761983,-87.65905417,148.700,2.0,1.0,1.7,3D,14,1,Float
16,19:02:31.000 08/15/2024,41.88762783,-87.65904800,148.600,2.0,1.0,1.7,3D,14,1,Float
17,19:02:32.000 08/15/2024,41.88763767,-87.65904350,148.600,2.0,1.0,1.7,3D,14,1,Float
18,19:02:33.000 08/15/2024,41.88764817,-87.65904050,148.600,2.0,1.0,1.7,3D,14,1,Float
